"creditpolicy","loanamnt","term","intrate","grade","emplength","targetloanstatus","dti","inqlast6mths","revolbal","revolutil","totalacc","delin2years","homeowner","logannualinc","ratioacc","verified","purpose_mod"
"1",11000,36,0.1349,"C",10,"0",21.82,3,11382,0.65,29,"N","Y",10.77895628989,0.517241379310345,"Y","debt_consolidation"
"1",7250,60,0.2167,"F",1,"0",24.82,2,21706,0.912,19,"N","N",11.2252433925184,0.473684210526316,"Y","debt_consolidation"
"1",15000,36,0.079,"A",1,"0",9.65,1,1616,0.067,29,"N","Y",10.8589989975636,0.379310344827586,"N","small_business"
"1",18000,60,0.1991,"E",10,"0",6.81,0,11745,0.778,40,"N","Y",11.0821425488778,0.25,"N","debt_consolidation"
"1",35000,60,0.1727,"D",3,"0",7.51,1,7334,0.533,31,"N","Y",11.9183905730784,0.354838709677419,"Y","home_improvement"
"1",10000,36,0.1427,"C",2,"0",15.39,1,11303,0.813,15,"N","N",11.1272629841582,0.6,"Y","credit_card"
"1",11800,36,0.1269,"B",6,"0",9.86,0,8940,0.748,13,"N","N",10.6454248972655,0.307692307692308,"Y","credit_card"
"1",4500,36,0.0603,"A",4,"0",4.44,0,8630,0.139,17,"N","N",10.8780471925343,0.411764705882353,"Y","major_purchase"
"1",7000,36,0.1269,"B",10,"0",11.35,2,7649,0.823,26,"N","N",10.4631033404715,0.384615384615385,"Y","credit_card"
"1",9200,36,0.1242,"B",2,"0",19.96,3,23299,0.787,19,"N","N",11.0020998412042,0.421052631578947,"Y","debt_consolidation"
"1",14000,60,0.1727,"D",4,"0",6.34,2,6986,0.794,10,"N","N",10.2399597891573,0.5,"Y","other"
"1",4500,60,0.1065,"B",1,"0",5.4,0,8220,0.783,9,"N","Y",10.6454248972655,0.444444444444444,"Y","car"
"1",12000,36,0.1629,"D",9,"0",16.85,0,22936,0.964,15,"N","N",11.3892312426239,0.4,"Y","debt_consolidation"
"1",12000,36,0.1349,"C",4,"0",21.33,1,3419,0.276,19,"N","N",11.1844213979982,0.578947368421053,"Y","debt_consolidation"
"1",12000,36,0.1065,"B",1,"0",23.94,0,20310,0.784,51,"N","N",11.0348896640272,0.196078431372549,"Y","credit_card"
"1",7000,36,0.1065,"B",3,"0",5.38,0,6245,0.781,11,"N","Y",10.6846456104188,0.636363636363636,"N","credit_card"
"1",8200,60,0.1942,"E",3,"0",2.8,2,10392,0.884,6,"N","N",11.6952470217642,0.833333333333333,"Y","debt_consolidation"
"1",10500,36,0.1269,"B",10,"0",20.73,2,5790,0.512,26,"Y","N",11.0974100210086,0.307692307692308,"Y","medical"
"1",7000,36,0.1171,"B",4,"0",21.01,0,9414,0.524,26,"N","Y",10.5743891241488,0.307692307692308,"N","debt_consolidation"
"1",15300,60,0.2206,"F",6,"0",20.58,2,26524,0.897,27,"N","N",11.3504065354725,0.518518518518518,"Y","credit_card"
"1",20000,60,0.1171,"B",4,"0",10.04,0,16447,0.463,27,"N","Y",10.7747809184795,0.555555555555556,"Y","debt_consolidation"
"1",17500,60,0.1727,"D",7,"1",21.31,2,20129,0.861,26,"N","Y",10.7144177687525,0.5,"N","credit_card"
"1",3500,36,0.0603,"A",10,"0",2.31,0,3092,0.134,28,"N","Y",11.3265958867787,0.214285714285714,"Y","car"
"1",6000,60,0.1269,"B",1,"0",13.66,0,15102,0.5,17,"Y","N",11.3022044336546,0.352941176470588,"Y","major_purchase"
"1",6200,36,0.0991,"B",2,"1",20.64,2,6533,0.477,12,"N","N",10.1266311038503,0.583333333333333,"N","debt_consolidation"
"1",16000,60,0.1758,"D",7,"0",15.56,0,21166,0.871,16,"N","N",11.0821425488778,0.5,"N","debt_consolidation"
"1",6000,36,0.089,"A",8,"0",13.17,0,5269,0.368,13,"N","Y",10.268130666124,0.846153846153846,"N","debt_consolidation"
"1",7200,36,0.0991,"B",6,"0",6.12,0,16627,0.796,18,"N","N",11.8130300574206,0.388888888888889,"N","credit_card"
"1",9500,36,0.089,"A",7,"0",8.18,0,13422,0.605,13,"N","Y",10.8197782844103,0.615384615384615,"N","credit_card"
"1",18825,60,0.1677,"D",10,"1",23.18,0,11004,0.797,7,"N","N",10.5453414387085,0.857142857142857,"Y","debt_consolidation"
"1",24000,36,0.1065,"B",10,"0",14.8,0,24708,0.552,9,"N","N",10.7144177687525,0.555555555555556,"Y","debt_consolidation"
"1",6000,36,0.1349,"C",10,"0",11.58,0,15499,0.838,16,"N","N",11.289781913656,0.5,"N","debt_consolidation"
"1",6000,36,0.1349,"C",5,"0",15.38,1,15191,0.915,7,"N","N",10.8197782844103,0.857142857142857,"N","debt_consolidation"
"1",2100,36,0.1242,"B",10,"0",19.72,1,12183,0.829,26,"N","Y",10.3089526606443,0.461538461538462,"N","vacation"
"1",5500,36,0.0662,"A",8,"0",9.69,0,14136,0.219,26,"N","Y",11.6082356447746,0.269230769230769,"Y","small_business"
"1",11000,36,0.0662,"A",8,"0",20.5,0,10677,0.587,11,"N","Y",10.7278384187114,0.636363636363636,"Y","debt_consolidation"
"1",26800,60,0.2089,"F",3,"0",12.15,0,14772,0.48,18,"N","Y",11.6952470217642,0.722222222222222,"Y","debt_consolidation"
"1",8000,36,0.1269,"B",5,"0",10.05,0,6842,0.977,18,"N","Y",10.4631033404715,0.388888888888889,"N","debt_consolidation"
"1",10000,36,0.1825,"D",1,"1",24.14,0,22828,0.963,26,"N","N",11.2252433925184,0.346153846153846,"Y","credit_card"
"1",8000,36,0.1171,"B",9,"0",9.7,0,6142,0.465,8,"N","Y",10.4631033404715,0.875,"Y","credit_card"
"1",10000,36,0.089,"A",6,"0",7,0,6734,0.495,21,"N","N",10.0858091093301,0.285714285714286,"Y","debt_consolidation"
"1",12000,36,0.1171,"B",2,"0",13.32,0,32711,0.541,38,"N","Y",11.7440371859336,0.447368421052632,"N","debt_consolidation"
"1",10000,36,0.079,"A",1,"0",25.26,0,8215,0.372,16,"N","N",10.6689553946757,0.5,"N","debt_consolidation"
"1",12000,36,0.0991,"B",1,"0",16.44,1,14335,0.293,25,"N","N",10.8197782844103,0.44,"N","debt_consolidation"
"1",25000,60,0.1349,"C",10,"1",14.15,0,15319,0.912,21,"N","Y",11.1124478983731,0.285714285714286,"Y","credit_card"
"1",19750,36,0.1065,"B",4,"1",22.8,0,16576,0.542,28,"N","N",10.7144177687525,0.428571428571429,"Y","debt_consolidation"
"1",10000,36,0.0991,"B",3,"0",14.81,0,5540,0.27,19,"N","N",10.3481733737976,0.684210526315789,"Y","debt_consolidation"
"1",13650,36,0.1242,"B",4,"0",24.09,0,8933,0.565,34,"N","N",11.0974100210086,0.323529411764706,"Y","debt_consolidation"
"1",28000,60,0.1991,"E",10,"1",20.7,0,29178,0.876,16,"N","N",10.8589989975636,0.625,"Y","debt_consolidation"
"1",18000,36,0.079,"A",10,"0",27.55,0,17381,0.766,20,"N","N",10.9501747683393,0.35,"Y","debt_consolidation"
"1",2500,36,0.1427,"C",7,"0",10.33,1,9868,0.377,20,"N","N",10.8097279485568,0.35,"Y","debt_consolidation"
"1",21000,60,0.203,"E",10,"0",23.21,2,12508,0.707,25,"N","N",11.1562505210315,0.68,"Y","credit_card"
"1",35000,36,0.089,"A",6,"0",22.71,0,9051,0.348,32,"N","Y",11.7360690162844,0.25,"Y","debt_consolidation"
"1",10000,36,0.0751,"A",3,"0",9.75,1,68,0.006,19,"N","N",10.4042628404486,0.473684210526316,"N","credit_card"
"1",7000,36,0.1269,"B",1,"0",15.8,2,15455,0.476,11,"N","N",10.3089526606443,0.636363636363636,"Y","credit_card"
"1",24000,36,0.1596,"C",8,"1",9.17,1,30952,0.712,23,"N","Y",11.4075649493124,0.391304347826087,"Y","home_improvement"
"1",10625,36,0.0751,"A",5,"0",18.89,1,7114,0.434,21,"N","Y",10.0432494949113,0.428571428571429,"N","medical"
"1",5000,36,0.1465,"C",2,"0",18.3,2,2429,0.333,9,"N","N",10.0858091093301,0.555555555555556,"Y","debt_consolidation"
"1",8850,36,0.0662,"A",10,"0",17.71,0,9466,0.359,19,"N","N",11.0348896640272,0.368421052631579,"Y","credit_card"
"1",6375,36,0.0751,"A",4,"0",4.8,0,6324,0.58,11,"N","N",10.6919449129004,0.636363636363636,"Y","debt_consolidation"
"1",6000,36,0.1171,"B",1,"0",2.97,0,8489,0.566,23,"Y","N",11.4075649493124,0.434782608695652,"N","credit_card"
"1",11100,36,0.0662,"A",10,"1",29.85,1,17518,0.623,18,"N","N",10.6213273456864,0.444444444444444,"Y","credit_card"
"1",10000,60,0.1269,"B",2,"0",10.82,1,10081,0.312,18,"N","Y",10.9331069697173,0.611111111111111,"Y","debt_consolidation"
"1",6200,36,0.0603,"A",5,"0",18.2,0,2982,0.16,18,"N","Y",10.1849000119743,0.333333333333333,"N","small_business"
"1",15000,36,0.1864,"E",1,"0",19.69,2,15183,0.903,12,"N","N",10.8967393255464,0.75,"N","debt_consolidation"
"1",4200,36,0.1171,"B",2,"0",16.91,0,8336,0.797,22,"N","N",10.8780471925343,0.681818181818182,"N","other"
"1",14000,36,0.1427,"C",4,"0",7.36,1,13378,0.708,14,"N","N",10.8742664696944,0.642857142857143,"N","debt_consolidation"
"1",8875,36,0.0751,"A",1,"0",23.53,1,19056,0.621,27,"N","Y",10.5453414387085,0.481481481481481,"N","debt_consolidation"
"1",13500,36,0.0991,"B",7,"0",12.38,1,16023,0.673,7,"N","N",10.5453414387085,0.428571428571429,"Y","debt_consolidation"
"1",12000,36,0.0991,"B",2,"1",7.83,2,9749,0.654,16,"N","N",10.6454248972655,0.5,"N","debt_consolidation"
"1",16000,60,0.1991,"E",4,"0",15.8,0,7743,0.724,19,"N","N",10.9150884642146,0.421052631578947,"Y","debt_consolidation"
"1",21600,60,0.1942,"E",8,"0",16.74,0,13354,0.781,21,"Y","Y",11.0020998412042,0.285714285714286,"Y","debt_consolidation"
"1",6000,36,0.1065,"B",6,"0",12.86,0,11739,0.405,22,"Y","Y",11.3736633976367,0.545454545454545,"N","home_improvement"
"1",8450,60,0.1677,"D",5,"0",22.51,2,17614,0.835,21,"N","Y",10.1266311038503,0.285714285714286,"Y","debt_consolidation"
"1",20000,60,0.1349,"C",1,"0",17.68,0,26693,0.614,23,"N","N",11.3144745262464,0.565217391304348,"N","credit_card"
"1",10000,36,0.1171,"B",8,"1",22.08,0,5626,0.293,26,"N","N",11.0020998412042,0.307692307692308,"N","debt_consolidation"
"1",12000,36,0.1629,"D",5,"0",18.18,0,29609,0.972,11,"N","Y",11.289781913656,0.727272727272727,"Y","credit_card"
"1",13475,60,0.1349,"C",10,"1",21.89,1,9943,0.658,14,"N","N",10.1266311038503,0.5,"Y","credit_card"
"1",7200,36,0.1242,"B",5,"0",17.43,1,16450,0.802,10,"N","N",10.77895628989,0.7,"N","major_purchase"
"1",5600,36,0.1465,"C",1,"1",12.24,3,6812,0.908,31,"Y","Y",11.3504065354725,0.258064516129032,"N","debt_consolidation"
"1",12000,36,0.1427,"C",1,"0",10.86,1,9273,0.815,11,"N","N",10.9508065468167,0.636363636363636,"Y","debt_consolidation"
"1",8500,36,0.0603,"A",2,"0",1.73,0,2463,0.28,18,"N","N",10.1266311038503,0.333333333333333,"N","credit_card"
"1",8000,36,0.0991,"B",2,"0",18.28,0,7434,0.785,7,"N","N",10.4341158035983,0.857142857142857,"Y","credit_card"
"1",8000,36,0.1242,"B",10,"0",15,0,18601,0.882,11,"N","N",10.5966347330961,0.909090909090909,"N","credit_card"
"1",16000,60,0.1527,"C",10,"0",17.44,1,12830,0.923,17,"N","N",10.6609326002788,0.235294117647059,"Y","debt_consolidation"
"1",15000,36,0.1727,"D",2,"0",3.59,0,4582,0.916,16,"Y","Y",10.7009947484203,0.375,"Y","house"
"1",10000,36,0.0991,"B",2,"0",11.24,1,9152,0.668,30,"N","Y",10.3089526606443,0.266666666666667,"N","debt_consolidation"
"1",10000,36,0.0662,"A",5,"0",16.78,0,10770,0.69,18,"N","Y",11.1562505210315,0.5,"N","credit_card"
"1",8000,36,0.1465,"C",3,"0",12.6,1,6187,0.543,11,"N","N",10.2399597891573,0.727272727272727,"N","car"
"1",22000,36,0.0991,"B",2,"0",13.22,4,21470,0.498,32,"N","Y",10.8197782844103,0.53125,"Y","debt_consolidation"
"1",6000,36,0.1427,"C",10,"0",24.53,1,71890,0.959,30,"N","Y",11.4595246882431,0.433333333333333,"Y","car"
"1",16000,60,0.0991,"B",10,"0",9.39,1,13270,0.285,23,"N","Y",10.5966347330961,0.260869565217391,"Y","debt_consolidation"
"1",2500,36,0.0751,"A",0,"1",16.3,2,4853,0.422,20,"N","Y",9.39266192877014,0.65,"Y","debt_consolidation"
"1",13500,36,0.0991,"B",2,"0",22.93,1,25011,0.672,15,"N","Y",10.4912742174382,0.866666666666667,"Y","credit_card"
"1",25000,36,0.1242,"B",2,"0",8.32,0,30449,0.346,23,"Y","N",12.3238556811866,0.478260869565217,"Y","debt_consolidation"
"1",10000,36,0.1349,"C",2,"0",24.97,2,8936,0.483,12,"N","N",10.7342203960486,0.833333333333333,"Y","small_business"
"1",2500,36,0.1349,"C",4,"0",6.44,0,3473,0.681,6,"N","N",10.2109722522841,1,"N","debt_consolidation"
"1",7325,36,0.1269,"B",1,"0",22.57,3,7281,0.65,29,"N","N",10.6454248972655,0.413793103448276,"N","debt_consolidation"
"1",4000,36,0.1242,"B",5,"0",12.12,3,29311,0.857,21,"N","N",11.8130300574206,0.523809523809524,"Y","credit_card"
"1",10000,36,0.1349,"C",5,"1",6.92,2,14292,0.695,17,"Y","N",11.0821425488778,0.705882352941177,"N","small_business"
"1",7750,36,0.1727,"D",1,"1",16.1,1,2348,0.671,7,"N","N",10.0858091093301,0.571428571428571,"N","debt_consolidation"
"1",20000,60,0.2089,"F",6,"1",16.63,1,10470,0.799,24,"N","N",11.1562505210315,0.416666666666667,"Y","debt_consolidation"
"1",9600,36,0.1242,"B",10,"0",11.65,0,11279,0.709,11,"N","N",11.0821425488778,0.545454545454545,"Y","debt_consolidation"
"1",21000,60,0.1171,"B",3,"1",6.62,0,10543,0.799,11,"N","N",11.0020998412042,0.636363636363636,"N","debt_consolidation"
"1",14000,36,0.1065,"B",3,"0",15.52,0,15542,0.656,14,"N","N",10.3089526606443,0.5,"Y","credit_card"
"1",13350,36,0.1242,"B",10,"0",20.57,0,11531,0.953,15,"N","N",10.6689553946757,0.466666666666667,"N","debt_consolidation"
"1",15000,36,0.1677,"D",10,"1",19.63,2,8238,0.749,38,"N","N",10.6454248972655,0.263157894736842,"Y","debt_consolidation"
"1",15000,36,0.1727,"D",8,"1",16.03,0,13505,0.759,17,"N","N",11.2252433925184,0.588235294117647,"Y","debt_consolidation"
"1",11000,60,0.1349,"C",10,"0",10.94,0,1735,0.241,31,"N","Y",11.7675676833438,0.32258064516129,"Y","debt_consolidation"
"1",35000,36,0.1065,"B",2,"0",3.17,1,1099,0.014,22,"Y","Y",12.0317192583854,0.727272727272727,"Y","debt_consolidation"
"1",9000,36,0.1065,"B",9,"0",8.89,0,7388,0.717,10,"N","Y",11.2118203721863,0.7,"Y","credit_card"
"1",22475,60,0.1527,"C",7,"0",15.23,1,18554,0.618,23,"N","Y",10.8589989975636,0.304347826086957,"Y","debt_consolidation"
"1",16000,36,0.1269,"B",1,"1",20.64,0,26224,0.893,10,"N","N",10.9767820332199,0.8,"Y","debt_consolidation"
"1",13500,36,0.1269,"B",5,"0",11.97,2,6681,0.777,11,"N","N",11.1704351560235,0.363636363636364,"Y","debt_consolidation"
"1",24000,36,0.1269,"B",10,"0",11.6,0,21609,0.846,33,"N","N",11.2252433925184,0.303030303030303,"Y","debt_consolidation"
"1",12000,36,0.1065,"B",5,"0",10.84,1,11849,0.488,18,"N","N",11.0020998412042,0.666666666666667,"N","credit_card"
"1",8400,60,0.1677,"D",5,"0",11.35,0,9551,0.803,13,"N","N",11.3850466378818,0.615384615384615,"N","major_purchase"
"1",28000,60,0.1758,"D",5,"0",12.07,1,2686,0.134,24,"N","Y",11.8493977015914,0.541666666666667,"Y","home_improvement"
"1",14000,36,0.0662,"A",10,"0",11.15,1,12095,0.354,46,"N","N",11.0974100210086,0.152173913043478,"Y","debt_consolidation"
"1",12000,36,0.1427,"C",8,"1",8.4,1,11546,0.862,12,"N","Y",11.1562505210315,0.583333333333333,"N","other"
"1",25000,36,0.1171,"B",10,"0",6.88,1,21128,0.891,18,"N","Y",11.5129254649702,0.444444444444444,"Y","debt_consolidation"
"1",9000,36,0.1269,"B",5,"0",17.81,1,12752,0.554,21,"N","N",10.8197782844103,0.619047619047619,"Y","debt_consolidation"
"1",13250,36,0.1065,"B",4,"0",24.93,2,13392,0.587,25,"N","N",10.4631033404715,0.44,"N","debt_consolidation"
"1",20000,36,0.1349,"C",6,"0",22.38,1,19548,0.908,17,"N","N",11.2252433925184,0.411764705882353,"Y","debt_consolidation"
"1",3000,36,0.1465,"C",5,"0",21.84,1,15072,0.887,14,"N","N",11.1704351560235,0.285714285714286,"Y","medical"
"1",7350,36,0.1065,"B",10,"0",11.93,0,15587,0.775,5,"N","Y",10.77895628989,1,"N","debt_consolidation"
"1",11500,36,0.1527,"C",5,"0",21.1,1,8969,0.767,14,"N","N",10.4912742174382,0.5,"N","debt_consolidation"
"1",13650,36,0.1242,"B",10,"1",12.29,1,16140,0.734,34,"N","Y",11.3621025752356,0.352941176470588,"N","debt_consolidation"
"1",10500,36,0.1629,"D",3,"1",15,1,5379,0.555,8,"N","N",10.3089526606443,0.875,"Y","debt_consolidation"
"1",12000,36,0.0991,"B",2,"0",15.5,0,12168,0.857,21,"N","N",11.0020998412042,0.333333333333333,"N","debt_consolidation"
