"creditpolicy","loanamnt","term","intrate","installment","grade","emplength","targetloanstatus","dti","inqlast6mths","openacc","revolutil","totalacc","emp10years","delin2years","homeowner","annualinc_bin","revolbal_bin","verified","purpose_mod"
"1",7500,36,0.0542,226.2,"A",10,"No Default",3.21,0,6,0.064,25,"Y","N","Y","Gp2","Gp2","N","vacation"
"1",15000,36,0.0617,457.49,"A",5,"No Default",5.87,2,5,0.125,12,"N","N","Y","Gp3","Gp1","Y","debt_consolidation"
"1",2000,60,0.1682,49.52,"E",2,"No Default",10.19,3,10,0.198,12,"N","N","N","Gp4","Gp1","Y","vacation"
"1",5000,36,0.1114,164.02,"B",3,"No Default",13.72,2,11,0.158,29,"N","N","N","Gp3","Gp2","N","other"
"1",1000,36,0.0691,30.84,"A",0,"No Default",10.48,0,10,0.417,12,"N","N","N","Gp1","Gp2","N","debt_consolidation"
"1",24000,36,0.138,817.94,"C",5,"No Default",16.95,3,13,0.699,28,"N","N","Y","Gp5","Gp4","Y","debt_consolidation"
"1",3600,60,0.1059,77.54,"B",4,"No Default",19.3,0,7,0.669,17,"N","N","Y","Gp3","Gp3","N","other"
"1",9000,36,0.1523,313.01,"C",10,"No Default",14.55,2,21,0.866,31,"Y","N","Y","Gp4","Gp3","Y","debt_consolidation"
"1",12000,36,0.0599,365.01,"A",3,"No Default",8.79,1,9,0.03,31,"N","N","Y","Gp4","Gp1","Y","home_improvement"
"1",5000,36,0.1349,169.66,"C",4,"No Default",5.64,3,6,0.376,9,"N","N","N","Gp1","Gp2","N","major_purchase"
"1",7500,36,0.1317,212.79,"D",2,"No Default",18.95,0,12,0.873,37,"N","N","Y","Gp4","Gp3","Y","major_purchase"
"1",7000,36,0.1171,231.54,"B",10,"No Default",11.25,0,9,0.774,28,"Y","N","Y","Gp5","Gp5","Y","other"
"1",3900,36,0.1036,126.51,"B",0,"No Default",11.08,3,8,0.407,10,"N","N","N","Gp1","Gp2","N","other"
"1",11000,36,0.1379,374.84,"C",1,"No Default",14.8,0,14,0.478,34,"N","Y","N","Gp4","Gp3","N","other"
"0",5500,36,0.1545,191.88,"E",3,"No Default",21.23,0,9,0.969,14,"N","Y","N","Gp2","Gp2","N","credit_card"
"1",25000,36,0.0999,806.57,"B",7,"No Default",6.75,0,4,0.101,11,"N","N","N","Gp5","Gp2","Y","other"
"1",2000,36,0.0542,60.32,"A",10,"No Default",15.49,0,12,0.415,30,"Y","N","Y","Gp5","Gp5","Y","renewable_energy"
"1",7200,36,0.1134,236.88,"C",0,"No Default",24.31,2,13,0.145,30,"N","N","N","Gp1","Gp2","N","credit_card"
"1",19750,60,0.1323,321.34,"C",3,"No Default",24.6,0,7,0.808,22,"N","N","Y","Gp4","Gp4","Y","credit_card"
"1",20000,36,0.1426,686.12,"C",2,"No Default",8.02,3,7,0.764,20,"N","N","N","Gp4","Gp4","Y","debt_consolidation"
"1",20000,36,0.1253,669.33,"C",1,"No Default",10.56,1,6,0.884,12,"N","N","Y","Gp3","Gp5","Y","other"
"0",5000,36,0.1407,171.05,"E",2,"No Default",0.53,6,7,0.41,21,"N","Y","Y","Gp2","Gp1","N","debt_consolidation"
"1",9000,60,0.1149,144.02,"B",3,"No Default",16.85,0,4,0.54,9,"N","N","N","Gp2","Gp3","N","major_purchase"
"0",4200,36,0.1411,143.77,"D",10,"No Default",14.24,5,6,0.816,25,"Y","N","N","Gp3","Gp4","Y","debt_consolidation"
"1",13250,36,0.1099,433.73,"B",2,"No Default",5.88,0,6,0.508,10,"N","N","Y","Gp1","Gp3","Y","debt_consolidation"
"1",20000,60,0.1599,486.26,"D",0,"No Default",16.16,1,9,0.824,26,"N","N","Y","Gp2","Gp4","Y","small_business"
"1",12000,36,0.1749,430.77,"D",0,"No Default",12.93,0,12,0.92,20,"N","N","Y","Gp1","Gp1","Y","debt_consolidation"
"1",8000,36,0.0617,244,"A",10,"No Default",12.6,0,5,0.259,14,"Y","N","N","Gp1","Gp2","Y","debt_consolidation"
"1",10000,36,0.0714,309.4,"A",5,"No Default",4.84,0,8,0.207,28,"N","N","Y","Gp3","Gp2","N","home_improvement"
"1",10000,36,0.0999,322.63,"B",0,"No Default",4.29,1,8,0.459,16,"N","N","N","Gp5","Gp3","Y","major_purchase"
"1",16300,36,0.0925,520.24,"B",2,"No Default",13.7,0,4,0.843,7,"N","N","N","Gp1","Gp4","Y","debt_consolidation"
"1",15000,36,0.0945,480.15,"B",10,"No Default",6.46,2,4,0.346,14,"Y","N","N","Gp3","Gp2","N","debt_consolidation"
"1",25000,60,0.1528,598.43,"D",0,"No Default",7.61,2,7,0.15,30,"N","N","Y","Gp5","Gp3","Y","home_improvement"
"1",6000,60,0.1483,142.21,"D",5,"No Default",21.21,0,9,0.557,13,"N","N","N","Gp4","Gp4","N","wedding"
"1",25000,36,0.0999,612.99,"B",10,"No Default",7.45,0,9,0.292,18,"Y","N","Y","Gp5","Gp4","Y","major_purchase"
"1",14000,36,0.1189,464.3,"B",2,"No Default",17.81,2,11,0.162,49,"N","N","Y","Gp1","Gp2","Y","debt_consolidation"
"1",5000,36,0.0774,156.1,"A",5,"No Default",5.12,2,5,0.651,17,"N","N","Y","Gp3","Gp5","N","major_purchase"
"1",12000,60,0.1199,266.88,"B",3,"No Default",21.5,0,8,0.435,17,"N","N","N","Gp1","Gp3","Y","debt_consolidation"
"1",4500,36,0.1484,155.65,"D",2,"No Default",13.63,0,5,0.933,7,"N","N","N","Gp2","Gp2","Y","debt_consolidation"
"1",15000,36,0.1148,494.53,"B",4,"No Default",10.1,1,9,0.617,34,"N","N","Y","Gp4","Gp5","N","debt_consolidation"
"1",20000,60,0.1649,336.74,"D",10,"No Default",13.98,1,13,0.668,19,"Y","N","Y","Gp3","Gp5","Y","credit_card"
"1",12000,36,0.0991,386.7,"B",8,"No Default",18.46,2,10,0.372,16,"N","N","Y","Gp4","Gp3","N","small_business"
"1",3100,36,0.1349,105.19,"C",1,"No Default",3.42,1,12,0.413,16,"N","Y","N","Gp3","Gp2","Y","moving"
"1",8000,36,0.1422,274.28,"C",2,"No Default",17.54,1,19,0.689,47,"N","N","Y","Gp5","Gp5","Y","debt_consolidation"
"1",24000,60,0.1632,378.35,"D",1,"No Default",13.3,0,12,0.633,15,"N","N","N","Gp2","Gp3","Y","debt_consolidation"
"1",6000,36,0.0832,188.91,"A",7,"No Default",11.75,0,11,0.047,24,"N","N","Y","Gp5","Gp1","N","educational"
"1",4200,36,0.0766,130.96,"A",0,"No Default",21.15,2,11,0.249,17,"N","N","Y","Gp3","Gp5","Y","major_purchase"
"1",25000,36,0.1111,819.78,"B",7,"No Default",25.17,0,11,0.661,25,"N","N","Y","Gp4","Gp5","Y","debt_consolidation"
"1",25000,36,0.1284,840.45,"C",10,"No Default",5.52,4,9,0.38,35,"Y","N","Y","Gp5","Gp1","Y","small_business"
"1",7000,36,0.0788,218.97,"A",2,"No Default",21.14,1,16,0.369,40,"N","N","Y","Gp4","Gp3","N","home_improvement"
"1",12000,60,0.1645,294.7,"E",4,"No Default",19.52,2,16,0.814,29,"N","N","N","Gp3","Gp3","Y","debt_consolidation"
"1",2500,36,0.0599,76.05,"A",3,"No Default",5.84,0,4,0.096,16,"N","N","N","Gp1","Gp1","N","small_business"
"1",12000,36,0.0832,220.39,"A",10,"No Default",9.58,1,10,0.247,22,"Y","N","N","Gp3","Gp3","N","debt_consolidation"
"1",7500,36,0.0807,235.25,"A",1,"No Default",2.72,4,15,0.244,60,"N","N","Y","Gp5","Gp5","N","home_improvement"
"1",7500,36,0.1159,247.65,"C",2,"No Default",13.91,1,10,0.453,20,"N","N","Y","Gp1","Gp1","N","other"
"1",8975,36,0.0662,275.57,"A",4,"No Default",29.61,0,6,0.669,14,"N","N","Y","Gp1","Gp3","Y","debt_consolidation"
"1",6500,60,0.1799,165.03,"E",4,"No Default",15.08,0,14,0.668,16,"N","N","Y","Gp4","Gp2","N","debt_consolidation"
"1",24500,36,0.1099,802.01,"B",2,"No Default",12.8,1,16,0.644,32,"N","N","Y","Gp5","Gp5","N","debt_consolidation"
"0",8000,36,0.167,284.02,"E",0,"No Default",0.72,5,2,0.999,9,"N","N","N","Gp2","Gp2","N","debt_consolidation"
"1",8000,36,0.0676,246.14,"A",3,"No Default",18.77,1,17,0.124,48,"N","N","N","Gp2","Gp3","N","debt_consolidation"
"1",5000,60,0.1361,115.34,"C",1,"No Default",8.33,0,6,0.455,10,"N","N","Y","Gp1","Gp2","Y","car"
"1",8200,36,0.1311,276.71,"C",9,"No Default",15.88,0,6,0.315,11,"N","Y","N","Gp3","Gp1","N","car"
"1",14000,36,0.0999,451.68,"B",8,"No Default",17.97,0,7,0.492,14,"N","N","Y","Gp2","Gp4","N","debt_consolidation"
"1",35000,36,0.089,1111.37,"A",4,"No Default",14.08,3,15,0.063,48,"N","N","N","Gp5","Gp2","Y","major_purchase"
"1",6400,36,0.0751,199.11,"A",10,"No Default",9.4,1,18,0.144,42,"Y","N","Y","Gp4","Gp4","N","debt_consolidation"
"1",10000,36,0.1037,324.42,"B",7,"No Default",10.05,0,6,0.527,11,"N","N","N","Gp2","Gp3","Y","debt_consolidation"
"1",20000,36,0.0691,616.72,"A",2,"No Default",0.92,5,6,0.135,13,"N","N","N","Gp5","Gp1","Y","other"
"1",25000,36,0.1171,826.9,"B",8,"No Default",13.9,0,12,0.76,33,"N","N","Y","Gp4","Gp5","Y","debt_consolidation"
"1",5000,36,0.1218,166.5,"B",1,"No Default",17.64,0,13,0.379,13,"N","N","N","Gp3","Gp3","Y","wedding"
"1",6000,60,0.1149,131.93,"B",0,"No Default",20.9,1,12,0.733,29,"N","N","N","Gp3","Gp4","N","debt_consolidation"
"1",5000,36,0.1059,162.73,"B",0,"No Default",18.89,2,13,0.46,20,"N","N","N","Gp4","Gp3","Y","moving"
"1",22000,36,0.1269,737.99,"B",6,"No Default",9.55,0,8,0.755,24,"N","N","N","Gp5","Gp5","Y","debt_consolidation"
"1",10000,36,0.089,317.54,"A",6,"No Default",13.54,0,6,0.717,18,"N","Y","Y","Gp3","Gp3","N","home_improvement"
"1",7200,36,0.1095,235.54,"B",0,"No Default",11.93,6,13,0.085,37,"N","N","N","Gp4","Gp2","N","moving"
"1",7750,36,0.1253,259.37,"C",0,"No Default",11.01,7,10,0.043,40,"N","N","Y","Gp2","Gp1","Y","home_improvement"
"1",28625,60,0.203,763.18,"E",6,"No Default",21.25,2,5,0.959,11,"N","N","Y","Gp3","Gp5","Y","debt_consolidation"
"1",4000,36,0.1221,133.26,"B",4,"No Default",13.26,0,11,0.222,14,"N","N","Y","Gp2","Gp2","N","debt_consolidation"
"1",10000,36,0.0749,311.02,"A",1,"No Default",7.77,0,4,0,5,"N","N","N","Gp1","Gp1","N","debt_consolidation"
"1",6000,36,0.1065,195.44,"B",6,"No Default",10.69,0,4,0.511,12,"N","N","Y","Gp2","Gp1","N","debt_consolidation"
"1",4000,36,0.0654,122.67,"A",5,"No Default",21.31,3,7,0.249,11,"N","N","Y","Gp4","Gp3","N","other"
"1",25000,60,0.2099,457.11,"F",6,"No Default",8.33,1,26,0.213,56,"N","N","Y","Gp5","Gp2","Y","debt_consolidation"
"1",6000,36,0.0699,185.24,"A",0,"No Default",19.68,1,17,0.221,63,"N","N","N","Gp5","Gp5","Y","debt_consolidation"
"1",1800,36,0.1299,60.65,"C",1,"No Default",7.47,0,2,0.626,4,"N","N","N","Gp1","Gp1","N","debt_consolidation"
"1",12000,36,0.1426,411.67,"C",10,"No Default",1.34,1,4,0.369,9,"Y","Y","N","Gp2","Gp2","Y","other"
"1",1000,36,0.1038,32.45,"B",2,"No Default",9.58,0,15,0.293,31,"N","N","Y","Gp5","Gp5","Y","credit_card"
"1",5000,36,0.0996,161.25,"B",4,"No Default",8.03,1,6,0.486,6,"N","N","Y","Gp2","Gp5","N","debt_consolidation"
"1",3050,36,0.0749,94.86,"A",0,"No Default",16.65,0,5,0,16,"N","N","N","Gp1","Gp1","N","debt_consolidation"
"1",7000,60,0.1398,162.81,"C",5,"No Default",12.91,0,3,0.857,4,"N","N","Y","Gp1","Gp2","N","debt_consolidation"
"1",3000,60,0.1361,69.2,"C",3,"No Default",6.65,3,3,0.084,4,"N","Y","Y","Gp2","Gp1","Y","home_improvement"
"1",10000,36,0.079,312.91,"A",2,"No Default",27.92,0,7,0.691,23,"N","N","N","Gp4","Gp3","Y","credit_card"
"0",7500,36,0.1443,257.91,"E",9,"No Default",17.67,1,11,0.7,30,"N","N","Y","Gp2","Gp3","N","credit_card"
"1",20200,60,0.1199,449.24,"B",2,"No Default",1.31,0,4,0.074,4,"N","N","N","Gp2","Gp1","Y","small_business"
"1",16000,36,0.1484,553.4,"D",4,"No Default",14.63,0,8,0.959,12,"N","N","N","Gp4","Gp4","Y","credit_card"
"1",10000,36,0.1099,327.34,"B",4,"No Default",20.94,0,9,0.839,13,"N","N","N","Gp1","Gp3","Y","credit_card"
"1",12000,36,0.16,421.89,"E",0,"No Default",11.33,2,13,0.67,17,"N","N","N","Gp2","Gp4","N","debt_consolidation"
"1",5000,36,0.089,158.77,"A",2,"No Default",12.71,2,10,0.259,13,"N","N","N","Gp2","Gp1","Y","debt_consolidation"
"1",14000,36,0.1392,477.92,"C",10,"No Default",23.26,0,8,0.877,16,"Y","N","Y","Gp2","Gp4","N","debt_consolidation"
"1",15000,36,0.0749,466.53,"A",4,"No Default",13.54,0,4,0.002,11,"N","N","N","Gp2","Gp1","Y","debt_consolidation"
"1",10000,60,0.2016,265.83,"G",0,"No Default",9.71,0,3,0.927,6,"N","N","Y","Gp2","Gp3","Y","credit_card"
"1",9500,36,0.1635,335.63,"E",4,"No Default",9.51,1,11,0.388,26,"N","N","N","Gp3","Gp4","N","small_business"
"1",18200,60,0.1099,395.63,"B",4,"No Default",27.68,1,16,0.321,32,"N","N","Y","Gp1","Gp5","Y","debt_consolidation"
"1",24250,60,0.1149,533.2,"B",10,"No Default",23.17,1,21,0.339,44,"Y","N","Y","Gp3","Gp5","Y","debt_consolidation"
"1",20000,60,0.164,490.63,"E",7,"No Default",13.19,0,22,0.182,59,"N","N","Y","Gp2","Gp4","Y","debt_consolidation"
"1",24000,60,0.2127,652.94,"G",8,"No Default",21.51,1,34,0.427,62,"N","N","Y","Gp4","Gp5","Y","debt_consolidation"
"1",13000,36,0.1062,423.27,"B",10,"No Default",7.45,1,8,0.814,25,"Y","N","N","Gp3","Gp3","N","debt_consolidation"
"1",3700,36,0.079,115.78,"A",3,"No Default",6.01,0,7,0.39,17,"N","N","N","Gp5","Gp2","Y","debt_consolidation"
"1",10000,36,0.1349,339.31,"C",1,"No Default",9.3,2,11,0.784,25,"N","N","Y","Gp5","Gp4","N","wedding"
"1",16000,60,0.1111,348.76,"B",9,"No Default",5.17,0,15,0.452,18,"N","N","Y","Gp5","Gp4","Y","debt_consolidation"
"1",1500,36,0.1284,50.43,"C",1,"No Default",17.32,1,13,0.794,40,"N","N","Y","Gp4","Gp5","Y","educational"
"1",10000,36,0.1103,327.53,"C",0,"No Default",13.48,0,8,0.58,10,"N","N","Y","Gp2","Gp3","N","debt_consolidation"
"1",7500,36,0.1629,264.76,"D",8,"No Default",2.25,1,6,0.86,26,"N","Y","N","Gp5","Gp2","Y","debt_consolidation"
"1",2700,36,0.1427,92.64,"C",5,"No Default",11.32,1,11,0.883,25,"N","Y","Y","Gp4","Gp5","N","home_improvement"
"1",13000,60,0.1398,302.36,"C",10,"No Default",16.77,0,18,0.589,32,"Y","N","Y","Gp5","Gp4","Y","debt_consolidation"
"1",9600,60,0.1372,221.99,"C",9,"No Default",8.4,1,5,0.783,22,"N","N","N","Gp3","Gp3","Y","major_purchase"
"1",16000,36,0.0788,500.49,"A",10,"No Default",14.97,0,8,0.157,27,"Y","N","Y","Gp4","Gp4","N","small_business"
"1",7000,36,0.1538,243.97,"E",5,"No Default",23.54,1,12,0.501,44,"N","Y","Y","Gp4","Gp3","N","credit_card"
"1",2100,36,0.1523,73.04,"C",4,"No Default",20.61,3,14,0.649,28,"N","N","N","Gp4","Gp4","Y","major_purchase"
"0",5650,36,0.1645,199.89,"E",0,"No Default",6.53,4,2,0.596,3,"N","N","N","Gp1","Gp2","N","debt_consolidation"
"1",2400,36,0.1223,79.98,"C",0,"No Default",8.33,0,7,0.417,9,"N","N","N","Gp1","Gp1","Y","debt_consolidation"
"1",1000,36,0.1037,32.45,"B",4,"No Default",8.52,1,10,0.163,25,"N","N","Y","Gp2","Gp1","Y","debt_consolidation"
"1",4800,36,0.0599,146.01,"A",4,"No Default",8.52,1,11,0.196,37,"N","N","Y","Gp2","Gp2","Y","home_improvement"
"1",8500,36,0.089,269.91,"A",1,"No Default",18.28,0,6,0.368,12,"N","N","N","Gp2","Gp3","Y","debt_consolidation"
"1",15000,36,0.1038,486.69,"B",1,"No Default",21.07,0,9,0.374,26,"N","N","Y","Gp4","Gp2","Y","debt_consolidation"
"1",2200,36,0.1172,72.78,"C",6,"No Default",17.2,0,4,0.695,6,"N","Y","N","Gp2","Gp2","N","other"
"1",11800,36,0.1399,403.24,"C",5,"No Default",4.6,1,10,0.427,41,"N","N","N","Gp5","Gp2","Y","debt_consolidation"
"1",18000,36,0.1372,612.76,"C",2,"No Default",6.36,0,6,0.88,12,"N","N","Y","Gp3","Gp2","Y","debt_consolidation"
"1",15000,60,0.1186,332.61,"B",2,"No Default",18.07,1,9,0.491,20,"N","N","Y","Gp4","Gp4","Y","debt_consolidation"
"1",35000,36,0.1306,1180.31,"C",2,"No Default",21.04,0,19,0.537,46,"N","N","Y","Gp5","Gp5","Y","debt_consolidation"
"1",18000,60,0.1361,415.2,"C",6,"No Default",15.81,2,7,0.931,19,"N","N","Y","Gp5","Gp5","Y","credit_card"
"1",20000,60,0.1839,512.13,"E",5,"No Default",23.56,0,12,0.92,30,"N","N","Y","Gp3","Gp5","Y","debt_consolidation"
"1",20000,36,0.0691,458.69,"A",3,"No Default",15.16,0,10,0.624,28,"N","N","N","Gp5","Gp5","Y","debt_consolidation"
"1",5000,36,0.1218,166.5,"B",2,"No Default",9.78,0,7,0.611,14,"N","N","Y","Gp1","Gp2","Y","debt_consolidation"
"1",22000,36,0.0988,708.63,"B",9,"No Default",19.96,0,9,0.395,24,"N","N","Y","Gp4","Gp4","Y","debt_consolidation"
"1",7200,36,0.1,232.33,"B",10,"No Default",7.99,0,8,0.262,17,"Y","N","N","Gp4","Gp1","Y","home_improvement"
"1",1500,36,0.1523,52.17,"C",2,"No Default",20.33,1,6,0.541,7,"N","N","N","Gp1","Gp1","Y","moving"
"1",10000,36,0.1199,332.1,"B",4,"No Default",24.84,1,7,0.579,14,"N","N","N","Gp1","Gp1","Y","debt_consolidation"
"1",8000,36,0.0999,258.1,"B",10,"No Default",10.08,1,4,0.202,11,"Y","N","Y","Gp2","Gp1","Y","debt_consolidation"
"1",7200,36,0.1311,242.97,"C",6,"No Default",9.68,0,4,0.802,10,"N","N","N","Gp1","Gp3","N","debt_consolidation"
"1",7000,36,0.0692,215.89,"A",4,"No Default",16.61,2,11,0.157,16,"N","N","Y","Gp4","Gp2","N","credit_card"
"1",8300,36,0.1099,271.7,"B",10,"No Default",13.94,0,12,0.519,25,"Y","N","N","Gp2","Gp4","N","debt_consolidation"
"0",10000,36,0.1459,344.65,"D",10,"No Default",13.46,4,6,0.74,20,"Y","N","Y","Gp4","Gp2","N","other"
"1",1000,60,0.1719,24.96,"E",0,"No Default",20.73,0,6,0.982,13,"N","N","N","Gp1","Gp2","Y","moving"
"1",5825,36,0.0662,178.85,"A",0,"No Default",11,0,6,0.134,6,"N","N","N","Gp1","Gp2","N","other"
"1",4000,60,0.1037,85.72,"B",7,"No Default",29.15,1,15,0.364,26,"N","N","Y","Gp3","Gp5","Y","car"
"1",11200,60,0.1595,272.07,"D",3,"No Default",19.7,0,11,0.823,11,"N","N","N","Gp2","Gp3","Y","debt_consolidation"
"1",3500,36,0.0599,106.47,"A",3,"No Default",2.01,1,9,0.128,11,"N","N","Y","Gp4","Gp2","N","debt_consolidation"
"1",4200,60,0.1242,94.33,"B",0,"No Default",16.1,0,9,0.302,22,"N","Y","N","Gp1","Gp2","Y","car"
"1",12000,36,0.1036,389.24,"B",4,"No Default",16.34,0,8,0.868,23,"N","N","N","Gp3","Gp5","Y","debt_consolidation"
"1",19750,36,0.0751,614.44,"A",3,"No Default",20.59,0,8,0.456,27,"N","Y","N","Gp1","Gp5","Y","debt_consolidation"
