"creditpolicy","loanamnt","term","intrate","installment","grade","emplength","targetloanstatus","dti","inqlast6mths","openacc","revolutil","totalacc","emp10years","delin2years","homeowner","annualinc_bin","verified","purpose_mod","revolbal_bin","loanstatus"
"1",5000,36,0.1149,164.86,"B",7,"No Default",21.47,0,18,0.92,30,"N","N","N","Gp5","Y","debt_consolidation","Gp5","No Default"
"1",24250,36,0.1136,798.1,"B",10,"No Default",11.23,1,14,0.34,48,"Y","N","Y","Gp4","Y","debt_consolidation","Gp4","No Default"
"1",15000,60,0.1186,332.61,"B",3,"No Default",8.07,1,17,0.435,41,"N","N","Y","Gp3","Y","medical","Gp5","No Default"
"1",11325,60,0.1299,257.63,"C",10,"No Default",22.28,0,11,0.532,20,"Y","N","N","Gp1","N","wedding","Gp3","No Default"
"1",1775,36,0.1272,59.57,"C",0,"No Default",10.64,0,12,0.046,15,"N","Y","N","Gp2","N","major_purchase","Gp1","No Default"
"1",25000,60,0.183,638.93,"F",3,"No Default",13.02,0,8,0.936,14,"N","N","Y","Gp5","Y","debt_consolidation","Gp5","No Default"
"1",12000,36,0.1335,406.36,"C",0,"No Default",12.51,0,4,0.813,15,"N","N","Y","Gp2","Y","debt_consolidation","Gp4","No Default"
"1",20000,36,0.1531,696.31,"D",6,"No Default",20.52,2,25,0.218,47,"N","N","N","Gp4","Y","debt_consolidation","Gp5","No Default"
"1",10000,60,0.0888,207.01,"B",10,"No Default",2.77,1,4,0.25,5,"Y","N","Y","Gp3","Y","debt_consolidation","Gp2","No Default"
"1",9000,36,0.0691,277.53,"A",10,"No Default",24.18,0,8,0.695,13,"Y","N","N","Gp4","Y","credit_card","Gp5","No Default"
"1",8000,36,0.1602,281.34,"D",4,"No Default",0.48,1,4,0.474,16,"N","Y","Y","Gp5","N","other","Gp1","No Default"
"1",2000,36,0.1385,68.21,"C",8,"No Default",7.94,1,5,0.458,20,"N","Y","N","Gp2","N","major_purchase","Gp2","No Default"
"1",6000,60,0.0729,119.63,"A",6,"No Default",11.4,0,7,0.094,34,"N","N","N","Gp3","N","debt_consolidation","Gp1","No Default"
"1",3100,60,0.1037,66.44,"B",0,"No Default",14.18,0,5,0,12,"N","N","Y","Gp1","Y","car","Gp1","No Default"
"1",1200,36,0.1595,42.16,"D",2,"No Default",18.88,3,5,0.973,10,"N","N","N","Gp2","Y","debt_consolidation","Gp1","No Default"
"1",20000,36,0.1038,648.92,"B",10,"No Default",15.48,0,15,0.286,27,"Y","N","N","Gp2","Y","debt_consolidation","Gp4","No Default"
"1",13000,36,0.0749,404.33,"A",7,"No Default",10.45,0,9,0.535,24,"N","N","N","Gp4","Y","debt_consolidation","Gp4","No Default"
"0",6000,36,0.128,201.59,"D",2,"No Default",3,1,3,0.552,4,"N","N","Y","Gp1","N","educational","Gp1","No Default"
"1",10000,36,0.1036,324.37,"B",0,"No Default",1.44,1,3,0.886,6,"N","N","N","Gp2","Y","wedding","Gp1","No Default"
"1",24250,36,0.1287,815.61,"C",0,"No Default",15.84,0,7,0.946,32,"N","N","N","Gp5","N","debt_consolidation","Gp5","No Default"
"1",10000,36,0.1287,336.34,"C",3,"No Default",12.64,2,13,0.502,15,"N","N","N","Gp2","N","debt_consolidation","Gp3","No Default"
"1",13500,36,0.0751,420,"A",4,"No Default",14.26,0,10,0.415,21,"N","N","Y","Gp5","Y","credit_card","Gp4","No Default"
"1",10000,36,0.1099,327.34,"B",10,"No Default",10.57,0,10,0.765,36,"Y","N","Y","Gp5","N","credit_card","Gp2","No Default"
"1",1600,36,0.1242,53.47,"B",6,"No Default",12.11,3,8,0.376,16,"N","Y","N","Gp3","Y","other","Gp1","No Default"
"1",25000,36,0.1111,819.78,"B",2,"No Default",22.5,0,8,0.585,25,"N","N","N","Gp3","Y","debt_consolidation","Gp5","No Default"
"1",18225,36,0.0963,584.92,"A",6,"No Default",22.76,0,12,0.092,16,"N","N","N","Gp1","N","debt_consolidation","Gp2","No Default"
"1",2400,36,0.1036,77.85,"B",8,"No Default",9.47,0,10,0.872,40,"N","N","Y","Gp3","Y","debt_consolidation","Gp2","No Default"
"1",11200,36,0.1399,382.74,"C",7,"No Default",12.25,1,10,0.374,26,"N","N","Y","Gp3","Y","debt_consolidation","Gp3","No Default"
"1",4200,36,0.1479,145.17,"C",10,"No Default",21.87,1,3,0.026,14,"Y","Y","N","Gp1","N","other","Gp1","No Default"
"1",35000,60,0.1991,925.54,"E",1,"No Default",3.85,0,5,0.707,23,"N","N","N","Gp5","Y","debt_consolidation","Gp5","No Default"
"1",12000,36,0.0599,365.01,"A",10,"No Default",16.24,0,17,0.384,43,"Y","N","Y","Gp5","Y","home_improvement","Gp5","No Default"
"1",12000,36,0.0991,386.7,"B",7,"No Default",18.32,2,7,0.448,15,"N","N","N","Gp3","Y","major_purchase","Gp2","No Default"
"1",12000,36,0.1037,389.3,"B",3,"No Default",18.33,0,12,0.819,33,"N","N","Y","Gp5","Y","debt_consolidation","Gp5","No Default"
"1",4800,60,0.1459,113.17,"D",4,"No Default",10.47,0,5,0.941,17,"N","N","Y","Gp3","N","debt_consolidation","Gp3","No Default"
"1",12000,36,0.0662,368.45,"A",10,"No Default",28.87,1,11,0.236,29,"Y","N","N","Gp4","Y","other","Gp2","No Default"
"1",5000,36,0.0751,155.56,"A",6,"No Default",12.36,2,15,0.001,24,"N","N","N","Gp2","N","credit_card","Gp1","No Default"
"1",13000,60,0.0999,216.14,"B",2,"No Default",17.79,2,7,0.069,14,"N","N","N","Gp2","N","major_purchase","Gp1","No Default"
"0",2800,36,0.1418,95.95,"E",2,"No Default",8.5,2,6,0.456,14,"N","N","Y","Gp2","N","debt_consolidation","Gp2","No Default"
"1",5000,60,0.1719,124.78,"E",10,"No Default",0.48,1,8,0.223,23,"Y","N","Y","Gp3","Y","small_business","Gp1","No Default"
"1",11000,36,0.0542,331.76,"A",10,"No Default",12.02,0,6,0.215,22,"Y","N","Y","Gp4","N","major_purchase","Gp2","No Default"
"1",12000,36,0.1171,396.92,"B",1,"No Default",24.16,2,9,0.733,39,"N","N","Y","Gp3","Y","debt_consolidation","Gp5","No Default"
"1",7000,36,0.0749,217.72,"A",4,"No Default",7.26,0,14,0.01,34,"N","N","Y","Gp4","N","major_purchase","Gp1","No Default"
"1",2400,36,0.0639,73.45,"A",7,"No Default",0.21,0,7,0.077,19,"N","N","Y","Gp1","N","other","Gp1","No Default"
"1",2200,36,0.1523,76.52,"C",3,"No Default",3.25,2,5,0.717,5,"N","N","N","Gp1","Y","renewable_energy","Gp1","No Default"
"1",9350,36,0.1269,313.65,"B",7,"No Default",12.34,3,10,0.705,14,"N","N","Y","Gp2","N","debt_consolidation","Gp4","No Default"
"1",12000,36,0.1075,391.45,"B",8,"No Default",8.86,2,9,0.086,34,"N","Y","Y","Gp4","N","other","Gp1","No Default"
"1",4200,36,0.0579,127.38,"A",5,"No Default",8.24,1,9,0.312,23,"N","N","N","Gp1","Y","credit_card","Gp2","No Default"
"1",1925,36,0.1523,66.95,"C",10,"No Default",24.57,2,12,0.244,36,"Y","Y","Y","Gp1","N","major_purchase","Gp3","No Default"
"1",14000,36,0.0692,431.77,"A",10,"No Default",24.19,1,14,0.322,21,"Y","N","N","Gp1","Y","credit_card","Gp5","No Default"
"1",3000,36,0.0751,93.34,"A",4,"No Default",12.54,2,6,0.173,14,"N","N","N","Gp2","N","moving","Gp1","No Default"
"1",5000,60,0.1171,110.5,"B",5,"No Default",15.7,0,9,0.934,35,"N","N","Y","Gp5","N","major_purchase","Gp5","No Default"
"1",35000,60,0.2062,939.41,"F",5,"No Default",21.16,0,16,0.936,41,"N","N","Y","Gp5","Y","home_improvement","Gp5","No Default"
"1",9600,36,0.1682,341.41,"E",1,"No Default",21.33,3,20,0.966,39,"N","N","N","Gp5","Y","other","Gp5","No Default"
"1",24000,36,0.1112,787.1,"B",4,"No Default",14.44,1,8,0.718,26,"N","N","Y","Gp4","Y","debt_consolidation","Gp5","No Default"
"1",15000,60,0.0654,183.61,"A",2,"No Default",15.38,1,16,0.279,23,"N","N","N","Gp2","N","debt_consolidation","Gp3","No Default"
"1",20400,60,0.1399,474.57,"C",5,"No Default",20.72,1,20,0.145,28,"N","N","Y","Gp4","Y","debt_consolidation","Gp2","No Default"
"1",20000,36,0.1136,658.23,"B",10,"No Default",8.34,0,10,0.798,17,"Y","N","Y","Gp5","Y","debt_consolidation","Gp5","No Default"
"1",10000,36,0.1099,327.36,"B",9,"No Default",12.63,0,14,0.378,39,"N","N","Y","Gp4","N","debt_consolidation","Gp3","No Default"
"1",14000,60,0.1689,347.11,"D",8,"No Default",20.33,1,11,0.462,30,"N","Y","Y","Gp2","N","other","Gp4","No Default"
"1",8000,36,0.1,258.14,"B",0,"No Default",22.8,2,9,0.343,32,"N","N","N","Gp2","N","debt_consolidation","Gp3","No Default"
"1",10000,36,0.0859,316.11,"A",0,"No Default",15.38,0,11,0.412,23,"N","N","N","Gp4","N","credit_card","Gp4","No Default"
"1",18000,36,0.1099,589.22,"B",7,"No Default",15.98,1,7,0.213,18,"N","N","Y","Gp5","Y","debt_consolidation","Gp1","No Default"
"1",4000,36,0.0579,121.31,"A",2,"No Default",20,0,13,0.1,16,"N","N","N","Gp2","Y","debt_consolidation","Gp2","No Default"
"1",9000,36,0.1562,314.73,"D",0,"No Default",13.5,2,5,0.75,26,"N","N","N","Gp1","Y","debt_consolidation","Gp3","No Default"
"1",5600,36,0.0603,170.44,"A",10,"No Default",14.94,0,10,0.104,22,"Y","N","N","Gp3","N","debt_consolidation","Gp2","No Default"
"1",4700,60,0.2159,128.72,"G",2,"No Default",1.44,0,3,0.337,4,"N","N","N","Gp1","Y","major_purchase","Gp1","No Default"
"1",4800,60,0.1299,109.2,"C",8,"No Default",9.17,0,6,0.183,11,"N","Y","N","Gp3","Y","major_purchase","Gp1","No Default"
"1",7500,36,0.08,175.49,"A",2,"No Default",0.95,5,15,0.007,36,"N","N","Y","Gp2","N","other","Gp1","No Default"
"1",11000,36,0.0938,351.75,"A",3,"No Default",0,0,13,0.06,29,"N","Y","Y","Gp4","N","other","Gp2","No Default"
"1",15000,36,0.1186,497.22,"B",6,"No Default",16.91,1,12,0.472,31,"N","N","Y","Gp3","Y","debt_consolidation","Gp5","No Default"
"1",5000,36,0.1461,172.38,"D",10,"No Default",20.92,1,9,0.206,18,"Y","N","Y","Gp3","N","debt_consolidation","Gp2","No Default"
"1",14400,60,0.183,260.05,"F",7,"No Default",22.48,2,9,0.811,14,"N","N","Y","Gp3","N","home_improvement","Gp4","No Default"
"1",10500,36,0.1114,344.44,"B",1,"No Default",19.63,3,16,0.644,47,"N","N","N","Gp3","Y","debt_consolidation","Gp3","No Default"
"1",15000,36,0.1158,495.21,"B",4,"No Default",4.34,0,11,0.2,20,"N","N","N","Gp5","Y","house","Gp4","No Default"
"1",3600,36,0.0714,111.39,"A",5,"No Default",22.38,3,10,0.625,20,"N","N","Y","Gp2","N","vacation","Gp5","No Default"
"1",20000,60,0.1565,482.65,"D",2,"No Default",10.2,0,9,0.225,25,"N","N","Y","Gp2","Y","debt_consolidation","Gp2","No Default"
"1",5600,60,0.1756,140.87,"E",4,"No Default",7.54,2,3,0.302,4,"N","Y","Y","Gp2","Y","major_purchase","Gp1","No Default"
"1",10000,36,0.1126,328.64,"B",2,"No Default",16.29,0,10,0.438,29,"N","N","N","Gp5","Y","medical","Gp2","No Default"
"1",8000,36,0.1357,271.75,"C",0,"No Default",14.28,1,7,0.881,17,"N","N","N","Gp4","Y","credit_card","Gp3","No Default"
"1",6250,36,0.1287,210.21,"C",2,"No Default",21.84,1,13,0.7,29,"N","N","Y","Gp2","N","debt_consolidation","Gp5","No Default"
"1",8000,60,0.1714,199.43,"E",4,"No Default",23.5,0,13,0.648,29,"N","N","N","Gp2","Y","wedding","Gp4","No Default"
"1",5600,36,0.1146,184.56,"B",0,"No Default",8.28,2,7,0.585,10,"N","N","Y","Gp5","N","other","Gp2","No Default"
"0",4800,36,0.1558,167.77,"D",4,"No Default",13.63,4,3,0.709,4,"N","N","N","Gp2","Y","major_purchase","Gp1","No Default"
"1",20000,36,0.0925,638.33,"B",4,"No Default",21.22,0,23,0.437,35,"N","N","N","Gp4","Y","small_business","Gp4","No Default"
"1",6400,36,0.1689,227.83,"D",10,"No Default",13.84,1,4,0.979,18,"Y","Y","N","Gp2","Y","other","Gp2","No Default"
"1",5000,36,0.1284,168.09,"C",5,"No Default",17.67,2,5,0.515,8,"N","N","N","Gp1","N","home_improvement","Gp2","No Default"
"1",30000,60,0.203,799.84,"E",3,"No Default",21.67,1,17,0.79,32,"N","N","N","Gp4","Y","debt_consolidation","Gp5","No Default"
"1",1000,36,0.1411,34.23,"D",10,"No Default",3.63,2,6,0.951,17,"Y","N","Y","Gp4","N","debt_consolidation","Gp3","No Default"
"1",25000,60,0.1149,340.81,"B",6,"No Default",10.06,1,8,0.129,21,"N","N","Y","Gp3","Y","home_improvement","Gp2","No Default"
"1",25000,60,0.1446,587.69,"D",3,"No Default",11.23,0,11,0.269,24,"N","N","N","Gp5","Y","credit_card","Gp5","No Default"
"1",25000,36,0.1531,870.39,"D",10,"No Default",0.81,1,5,0.118,20,"Y","N","Y","Gp4","N","small_business","Gp2","No Default"
"1",9000,36,0.1484,311.29,"D",3,"No Default",8.14,0,6,0.988,10,"N","N","N","Gp4","Y","credit_card","Gp3","No Default"
"1",21600,60,0.1269,488.05,"B",5,"No Default",21.34,2,9,0.429,17,"N","N","Y","Gp3","Y","debt_consolidation","Gp4","No Default"
"1",22750,36,0.1446,577.09,"D",1,"No Default",19.52,2,7,0.819,18,"N","N","N","Gp3","Y","other","Gp5","No Default"
"1",2000,36,0.1649,70.8,"D",7,"No Default",2.23,0,3,0.775,5,"N","N","N","Gp1","Y","credit_card","Gp1","No Default"
"1",8000,36,0.1523,278.23,"C",9,"No Default",12.69,2,5,0.434,18,"N","N","N","Gp2","N","major_purchase","Gp1","No Default"
"1",26000,36,0.0849,820.64,"A",10,"No Default",16.18,0,9,0.523,24,"Y","N","Y","Gp5","Y","debt_consolidation","Gp5","No Default"
"1",7750,36,0.0751,241.11,"A",10,"No Default",8.69,2,18,0.291,43,"Y","N","Y","Gp4","N","debt_consolidation","Gp5","No Default"
"1",10625,60,0.1862,273.41,"F",5,"No Default",22.05,3,10,0.146,19,"N","N","Y","Gp1","Y","debt_consolidation","Gp1","No Default"
"1",2700,60,0.0749,54.09,"A",2,"No Default",28,0,7,0.258,7,"N","N","Y","Gp1","N","debt_consolidation","Gp2","No Default"
"1",8800,36,0.1071,286.9,"B",1,"No Default",13.08,2,10,0.515,17,"N","N","N","Gp3","N","debt_consolidation","Gp5","No Default"
"1",14400,60,0.1349,331.27,"C",2,"No Default",23.94,1,19,0.176,29,"N","N","Y","Gp2","N","car","Gp5","No Default"
"1",6000,36,0.074,186.36,"A",3,"No Default",6.4,0,9,0.23,35,"N","N","N","Gp5","Y","debt_consolidation","Gp4","No Default"
"1",15600,60,0.203,415.92,"E",5,"No Default",18.9,0,9,0.808,22,"N","N","N","Gp4","Y","debt_consolidation","Gp4","No Default"
"1",17500,60,0.1727,223.74,"D",6,"No Default",19.47,1,5,0.589,6,"N","N","N","Gp2","Y","small_business","Gp3","No Default"
"1",7500,36,0.1149,247.29,"B",10,"No Default",10.38,0,15,0.568,26,"Y","N","Y","Gp5","Y","medical","Gp3","No Default"
"1",12500,36,0.1903,458.39,"E",10,"No Default",17.82,0,5,0.94,20,"Y","N","Y","Gp5","N","other","Gp2","No Default"
"1",14000,60,0.1149,307.83,"B",0,"No Default",17.98,3,8,0.289,17,"N","N","Y","Gp4","Y","major_purchase","Gp3","No Default"
"1",20000,36,0.1171,661.52,"B",2,"No Default",15.98,0,15,0.553,26,"N","N","Y","Gp2","Y","debt_consolidation","Gp5","No Default"
"1",5000,36,0.1306,168.62,"C",4,"No Default",12.44,0,11,0.741,41,"N","Y","Y","Gp5","Y","home_improvement","Gp5","No Default"
"1",7400,36,0.0788,231.48,"A",4,"No Default",10.22,0,5,0,15,"N","N","Y","Gp5","N","small_business","Gp1","No Default"
"1",6600,36,0.1099,216.05,"B",9,"No Default",19.38,0,13,0.857,22,"N","N","N","Gp5","N","debt_consolidation","Gp4","No Default"
"1",29000,60,0.1199,644.95,"B",10,"No Default",15.25,4,10,0.444,36,"Y","N","Y","Gp5","Y","debt_consolidation","Gp5","No Default"
"1",9600,60,0.1149,211.09,"B",10,"No Default",22.16,3,11,0.045,38,"Y","N","Y","Gp4","Y","debt_consolidation","Gp1","No Default"
"1",7200,36,0.1632,254.27,"D",7,"No Default",15.32,0,3,0,8,"N","Y","Y","Gp2","N","home_improvement","Gp1","No Default"
"1",10000,36,0.0751,311.11,"A",3,"No Default",9.75,1,9,0.006,19,"N","N","N","Gp1","N","credit_card","Gp1","No Default"
"1",16800,36,0.1261,562.91,"C",10,"No Default",12.18,1,9,0.422,14,"Y","N","Y","Gp3","Y","home_improvement","Gp5","No Default"
"1",10000,60,0.1361,230.67,"C",3,"No Default",16.53,1,11,0.338,27,"N","Y","Y","Gp2","N","debt_consolidation","Gp5","No Default"
"1",21000,36,0.0894,667.21,"A",10,"No Default",10.42,1,7,0.01,11,"Y","N","Y","Gp5","Y","home_improvement","Gp1","No Default"
"1",7500,36,0.0579,227.46,"A",8,"No Default",27.6,0,9,0.314,17,"N","N","N","Gp1","N","debt_consolidation","Gp3","No Default"
"1",6600,36,0.0751,205.34,"A",10,"No Default",27.74,0,14,0.725,47,"Y","N","Y","Gp5","Y","home_improvement","Gp5","No Default"
"1",16200,36,0.1465,558.81,"C",8,"No Default",9.33,1,15,0.277,22,"N","N","Y","Gp4","Y","debt_consolidation","Gp3","No Default"
"1",20000,36,0.1253,669.33,"C",1,"No Default",10.56,1,6,0.884,12,"N","N","Y","Gp3","Y","other","Gp5","No Default"
"1",27575,60,0.1599,432.77,"D",7,"No Default",22.34,0,12,0.311,35,"N","N","Y","Gp2","Y","debt_consolidation","Gp4","No Default"
"1",17675,60,0.1465,417.25,"C",0,"No Default",16.46,2,6,0.574,14,"N","N","N","Gp2","Y","debt_consolidation","Gp3","No Default"
"1",7000,36,0.0692,215.89,"A",6,"No Default",10.08,0,15,0.165,25,"N","N","N","Gp4","N","debt_consolidation","Gp3","No Default"
"1",1200,36,0.1158,39.62,"B",3,"No Default",24.37,2,18,0.769,35,"N","N","N","Gp3","N","other","Gp5","No Default"
"1",12000,36,0.1392,408.79,"C",2,"No Default",23.14,1,6,0.961,8,"N","N","N","Gp3","Y","debt_consolidation","Gp4","No Default"
"1",15000,36,0.0863,474.42,"A",10,"No Default",2.59,0,4,0.276,25,"Y","N","Y","Gp2","N","other","Gp2","No Default"
"1",14000,36,0.0662,429.86,"A",10,"No Default",9.12,3,9,0.348,16,"Y","N","Y","Gp2","Y","debt_consolidation","Gp3","No Default"
"1",15000,60,0.1991,396.66,"E",10,"No Default",18.35,1,7,0.701,22,"Y","Y","N","Gp2","Y","debt_consolidation","Gp3","No Default"
"1",6600,36,0.079,206.52,"A",5,"No Default",26.89,0,6,0.876,25,"N","N","Y","Gp2","N","home_improvement","Gp3","No Default"
"1",4000,36,0.087,126.65,"B",1,"No Default",18.71,0,14,0.126,37,"N","N","N","Gp2","N","credit_card","Gp2","No Default"
"1",4500,36,0.1839,163.57,"E",10,"No Default",12.6,3,4,0.997,17,"Y","N","N","Gp3","Y","debt_consolidation","Gp2","No Default"
"1",6000,36,0.1111,196.75,"B",4,"No Default",3.82,0,5,0.87,18,"N","N","N","Gp2","N","credit_card","Gp2","No Default"
"1",10400,36,0.1491,360.07,"D",3,"No Default",5.24,0,6,0.773,13,"N","Y","N","Gp3","N","debt_consolidation","Gp2","No Default"
"1",8000,60,0.1074,172.91,"B",10,"No Default",26.25,0,4,0.449,9,"Y","N","N","Gp2","Y","debt_consolidation","Gp3","No Default"
"1",15000,36,0.1221,499.73,"B",3,"No Default",9.19,2,17,0.3,29,"N","N","Y","Gp5","Y","home_improvement","Gp5","No Default"
"1",4000,36,0.1269,134.18,"B",3,"No Default",21.66,0,11,0.973,17,"N","N","N","Gp4","N","other","Gp5","No Default"
"1",7000,60,0.1037,150.01,"B",0,"No Default",12.18,0,13,0.312,23,"N","N","N","Gp3","N","car","Gp4","No Default"
"1",14000,60,0.1149,307.83,"B",10,"No Default",11.49,2,11,0.408,18,"Y","N","Y","Gp5","Y","home_improvement","Gp4","No Default"
"1",4200,36,0.0894,133.45,"A",5,"No Default",19.24,3,9,0.509,20,"N","N","Y","Gp4","N","home_improvement","Gp4","No Default"
"1",5950,36,0.0729,184.51,"A",3,"No Default",24.63,0,6,0.787,18,"N","N","N","Gp4","Y","debt_consolidation","Gp5","No Default"
"0",7750,36,0.1496,268.51,"D",2,"No Default",13.8,4,8,0.789,16,"N","N","Y","Gp4","N","home_improvement","Gp3","No Default"
"1",12000,36,0.1523,417.34,"C",10,"No Default",7.62,3,14,0.332,22,"Y","N","N","Gp5","Y","small_business","Gp2","No Default"
"1",3000,36,0.1399,102.52,"C",10,"No Default",20,1,3,0.564,6,"Y","N","Y","Gp2","Y","debt_consolidation","Gp1","No Default"
"1",10000,36,0.1008,323.05,"B",2,"No Default",21.57,0,17,0.264,20,"N","N","N","Gp1","N","debt_consolidation","Gp4","No Default"
"1",2400,36,0.089,76.21,"A",2,"No Default",16.82,0,14,0.646,30,"N","N","N","Gp3","N","debt_consolidation","Gp4","No Default"
"1",1500,36,0.1521,52.16,"D",4,"No Default",8.45,2,14,0.936,22,"N","N","N","Gp5","Y","other","Gp5","No Default"
"1",13000,36,0.1311,438.69,"C",2,"No Default",19.84,2,13,0.761,20,"N","N","N","Gp1","N","debt_consolidation","Gp4","No Default"
"1",4000,60,0.1799,101.56,"E",0,"No Default",24.08,1,6,0.714,7,"N","N","N","Gp1","Y","debt_consolidation","Gp2","No Default"
"1",7500,60,0.1075,162.14,"B",10,"No Default",5.25,2,19,0.031,45,"Y","N","Y","Gp5","Y","home_improvement","Gp2","No Default"
"1",11500,36,0.0999,371.02,"B",10,"No Default",8.98,0,16,0.072,49,"Y","N","Y","Gp5","Y","vacation","Gp1","No Default"
"1",10800,36,0.1491,373.91,"D",3,"No Default",7.49,1,6,0.918,13,"N","N","N","Gp4","Y","debt_consolidation","Gp4","No Default"
"1",12000,36,0.1599,421.83,"D",3,"No Default",11.27,3,10,0.076,23,"N","Y","Y","Gp5","N","home_improvement","Gp1","No Default"
"1",6000,36,0.1074,195.7,"B",10,"No Default",5.02,3,4,0.82,13,"Y","Y","Y","Gp2","N","other","Gp3","No Default"
"1",6000,36,0.0714,185.65,"A",9,"No Default",1.53,0,11,0.014,29,"N","N","N","Gp5","Y","moving","Gp1","No Default"
"1",11000,36,0.0925,351.08,"B",1,"No Default",16.87,1,11,0.382,27,"N","Y","Y","Gp4","N","debt_consolidation","Gp3","No Default"
"1",5500,36,0.0894,174.75,"A",0,"No Default",9.29,4,7,0.493,12,"N","N","Y","Gp4","N","debt_consolidation","Gp3","No Default"
"1",2800,60,0.1149,61.57,"B",0,"No Default",4,0,7,0.195,23,"N","N","N","Gp1","N","debt_consolidation","Gp1","No Default"
"1",8400,36,0.1348,284.97,"C",0,"No Default",8.96,2,5,0.913,13,"N","N","N","Gp4","Y","debt_consolidation","Gp1","No Default"
"1",10000,36,0.0599,304.18,"A",0,"No Default",29.02,1,6,0.8,15,"N","N","N","Gp1","Y","car","Gp5","No Default"
"1",7500,36,0.1324,253.58,"D",3,"No Default",9.16,2,11,0.182,37,"N","Y","Y","Gp5","N","debt_consolidation","Gp2","No Default"
"1",6000,60,0.1099,130.43,"B",7,"No Default",7.68,0,16,0.395,30,"N","N","Y","Gp4","Y","car","Gp4","No Default"
"1",11900,36,0.0766,371.04,"A",2,"No Default",19.23,0,6,0.392,26,"N","N","N","Gp1","Y","debt_consolidation","Gp3","No Default"
"1",12000,60,0.1171,265.18,"B",5,"No Default",9.72,1,11,0.359,17,"N","N","Y","Gp1","Y","wedding","Gp3","No Default"
"1",6000,60,0.1427,140.46,"C",3,"No Default",17.83,0,8,0.202,9,"N","N","N","Gp4","N","debt_consolidation","Gp2","No Default"
"0",5000,36,0.147,172.59,"E",6,"No Default",15.14,0,15,0.829,24,"N","N","Y","Gp2","N","credit_card","Gp5","No Default"
"1",7500,36,0.0849,236.73,"A",10,"No Default",3.81,0,5,0.582,6,"Y","N","Y","Gp2","Y","home_improvement","Gp2","No Default"
"1",20000,36,0.1454,688.81,"D",0,"No Default",7.74,0,7,0.796,14,"N","N","N","Gp5","Y","debt_consolidation","Gp5","No Default"
"1",10000,36,0.0751,311.11,"A",3,"No Default",7.16,3,9,0,28,"N","N","Y","Gp4","N","major_purchase","Gp1","No Default"
"1",20700,36,0.1743,742.45,"E",9,"No Default",22.2,0,13,0.957,21,"N","N","Y","Gp5","N","debt_consolidation","Gp4","No Default"
"1",20000,60,0.1465,472.14,"C",4,"No Default",20.96,1,7,0.787,21,"N","N","Y","Gp3","Y","debt_consolidation","Gp4","No Default"
